Region,Chr,Start,End,Attributes,TotalE2E,FwdE2E,RevE2E,Total,Fwd,Rev
NCOR1_42.51979,chr17,16068324,16068466,NCOR1,9547,4938,4609,10795,5424,5371,
OR8U1_tmb1_1.39643,chr11,56143313,56143444,OR8U1,8460,4767,3693,10446,5839,4607,
SP_1402.29487,chr6,57246809,57246930,rs2230042,8194,4002,4192,8812,4300,4512,
KMT2C_45.44865,chr7,151935724,151935872,KMT2C,8133,4402,3731,9788,5715,4073,
KMT2C_53.28920,chr7,151970745,151970863,KMT2C,7969,3698,4271,8790,4287,4503,
SP_298.40644,chr11,48346775,48346882,rs73463998,7685,3570,4115,9267,4775,4492,
SP_1047.17313,chr21,10906972,10907094,rs210498,7352,3367,3985,8640,4207,4433,
MP_RICTOR_9.1.223330,chr5,38950214,38950320,RICTOR,6987,3624,3363,7366,3801,3565,
C6_tmb13_1.215,chr5,41203194,41203331,C6,6822,3392,3430,7199,3578,3621,
OR4M2_tmb1_1.108282,chr15,22368981,22369115,OR4M2,6765,3361,3404,7794,4031,3763,
FBXW7_13.77258,chr4,153332846,153332975,FBXW7,6582,3395,3187,6892,3592,3300,
SP_218.46394,chr10,60577333,60577460,rs4344442,6563,3376,3187,6992,3579,3413,
SP_73.6523,chr1,77093094,77093215,rs1184626,6464,2807,3657,8477,4463,4014,
IL7R_2.60785,chr5,35860938,35861043,IL7R,6454,3223,3231,7044,3439,3605,
MCL1_2.64371,chr1,150550771,150550900,MCL1,6351,3167,3184,6904,3444,3460,
FG_SP_28.14940,chr10,63699984,63700111,ARID5B,6311,2989,3322,6641,3151,3490,
DPYD_18.64788,chr1,98164966,98165092,DPYD,6255,3127,3128,6734,3310,3424,
SP_164.34426,chr1,215960081,215960205,rs10864198,5963,2739,3224,6814,3438,3376,
CDH10_tmb7_1.8167,chr5,24511433,24511558,CDH10,5918,2954,2964,6642,3482,3160,
DPYD_1.81581,chr1,97544603,97544722,DPYD,5913,3194,2719,6530,3555,2975,
SP_62.7929,chr22,22161973,22162093,MAPK1,5888,2974,2914,6653,3477,3176,
LRRC7_tmb10_1.43960,chr1,70509650,70509775,LRRC7,5861,2716,3145,6411,2843,3568,
SP_1528.37799,chr7,100635303,100635434,rs10808115,5843,2577,3266,6981,3442,3539,
OR4M2_tmb1_1.20527,chr15,22368487,22368614,OR4M2,5822,2931,2891,7072,3616,3456,
SP_1190.31087,chr3,188590407,188590518,rs1136644,5817,2886,2931,6074,3076,2998,
SP_87.47596,chr1,95709867,95709990,rs2296308,5766,2832,2934,6408,3333,3075,
TOP1_3.71925,chr20,39690023,39690148,TOP1,5756,2713,3043,6417,2925,3492,
OR2L8_tmb1_1.237331,chr1,248112523,248112658,OR2L8,5744,3019,2725,6236,3168,3068,
SP_132.8617,chr2,209113085,209113208,IDH1,5738,1892,3846,5843,1899,3944,
BARD1_8.39049,chr2,215645460,215645576,BARD1,5690,2929,2761,6117,3037,3080,
PDE1C_tmb2_1.110205,chr7,31862683,31862818,PDE1C,5640,3072,2568,6153,3300,2853,
SMAD2_8.87017,chr18,45395664,45395789,SMAD2,5628,3140,2488,6332,3248,3084,
PDE1A_tmb3_1.26857,chr2,183066163,183066286,PDE1A,5624,2995,2629,6172,3081,3091,
SP_196.19486,chr10,19498257,19498380,rs2358355,5605,2882,2723,5991,3051,2940,
ACSM2B_tmb6_1.78247,chr16,20563466,20563598,ACSM2B,5476,2817,2659,6339,3215,3124,
FANCD2_20.99014,chr3,10105486,10105618,FANCD2,5455,2761,2694,6140,3222,2918,
DICER1_8.35610,chr14,95571378,95571498,DICER1,5439,2681,2758,6045,2936,3109,
SP_515.17469,chr14,53098811,53098932,rs762063,5427,2814,2613,6034,3173,2861,
KMT2C_46.45965,chr7,151945121,151945273,KMT2C,5370,2470,2900,6679,3484,3195,
RUNDC3B_tmb6_1.11508,chr7,87436689,87436808,RUNDC3B,5323,2789,2534,5886,3195,2691,
TET2_8.78312,chr4,106193808,106193930,TET2,5321,2529,2792,6478,2960,3518,
KCNH7_tmb2_1.33998,chr2,163236436,163236551,KCNH7,5296,2500,2796,5858,2750,3108,
NF1_57.87101,chr17,29687556,29687677,NF1,5282,2890,2392,5636,3058,2578,
EP300_30.70993,chr22,41572363,41572500,EP300,5266,2708,2558,5635,2857,2778,
OR4M1_tmb1_1.104011,chr14,20248551,20248679,OR4M1,5241,2306,2935,6799,3779,3020,
SP_1636.14413,chr8,125463161,125463287,rs3812475,5239,2422,2817,5965,2717,3248,
ADAMTS12_tmb17_1.37221,chr5,33751509,33751632,ADAMTS12,5237,2303,2934,5605,2473,3132,
PALB2_10.2.99592,chr16,23647105,23647232,PALB2,5236,2659,2577,5696,2909,2787,
NOTCH2_2.2.18900,chr1,120459124,120459251,NOTCH2,5215,2818,2397,5945,2979,2966,
SP_542.11858,chr14,94121675,94121801,rs2296687,5193,2659,2534,5562,2798,2764,
HDAC9_19.31826,chr7,18868793,18868905,HDAC9,5193,2750,2443,5857,3074,2783,
EP300_28.8793,chr22,41568544,41568663,EP300,5188,2562,2626,5589,2664,2925,
OR10G8_tmb1_1.295933,chr11,123900342,123900475,OR10G8,5184,2540,2644,5703,2996,2707,
SP_1408.16168,chr6,70866544,70866661,rs2229799,5182,2677,2505,5897,2864,3033,
APC_16.2.9438,chr5,112174503,112174624,APC,5169,2464,2705,5665,2720,2945,
SP_569.19215,chr15,44943693,44943815,rs3759871,5162,2921,2241,5828,3275,2553,
SP_301.7362,chr11,56184819,56184941,rs998544,5161,2550,2611,5569,2824,2745,
PPFIA2_tmb9_1.24142,chr12,81768415,81768544,PPFIA2,5135,2573,2562,5411,2739,2672,
SMAD2_4.85204,chr18,45374883,45375010,SMAD2,5118,2508,2610,5508,2682,2826,
PPFIA2_tmb1_1.6527,chr12,81656946,81657070,PPFIA2,5117,2629,2488,5502,2871,2631,
SP_6.36777,chr1,97547915,97548036,DPYD,5099,2595,2504,5606,2941,2665,
MLH3_12.3.85298,chr14,75515373,75515480,MLH3,5088,2682,2406,5312,2785,2527,
7153268949,chr14,75514642,75514764,MLH3,5086,2442,2644,5998,2790,3208,
SP_971.17446,chr2,205912299,205912420,rs1510765,5072,2965,2107,5780,3154,2626,
SP_883.34044,chr2,44547532,44547653,rs698761,5070,2769,2301,5410,2959,2451,
OR5L2_tmb1_1.321867,chr11,55595163,55595296,OR5L2,5069,2687,2382,5641,2833,2808,
ETV6_8.69327,chr12,12043960,12044078,ETV6,5063,2532,2531,5381,2712,2669,
SP_56.32342,chr10,123276880,123277004,FGFR2,5056,2385,2671,5579,2838,2741,
ETV6_6.101491,chr12,12037419,12037541,ETV6,5055,2660,2395,5744,2790,2954,
RPA1_7.34747,chr17,1778993,1779112,RPA1,5054,2375,2679,5580,2655,2925,
OBRA_BRCA2_139,chr13,32968853,32968955,BRCA2,5045,2649,2396,5206,2728,2478,
CSMD3_tmb7_1.7424,chr8,113275942,113276064,CSMD3,5032,2146,2886,6081,2995,3086,
SP_211.16959,chr10,47087395,47087520,rs1129838,5017,2673,2344,5561,2826,2735,
